Company Name,Business Name,Street Address,City,State Abbreviation,Zip Code,Telephone Number,Line of Business,Latitude,Longitude,Primary NAICS,Primary SIC,Sales Volume,Total Employees,Local Employees,Year Started
"4 SUR 2, LLC",MCDONALD'S,902 SWEDE GULCH RD,EVERGREEN,CO,804393713,3035265810,FAST-FOOD REST CHAIN,39.699538,-105.329877,722513,58120307,135923,2,2,2010
8942 MCDONALD S,,555 S CAMINO DEL RIO,DURANGO,CO,813036826,9707595727,EATING PLACE,37.246599,-107.874612,722511,58120000,118751,8,8,2010
ADDIS AND COMPANY INC,MCDONALD'S,3350 N COLORADO BLVD,DENVER,CO,802053810,3033941541,FAST-FOOD REST CHAIN,39.764127,-104.940459,722513,58120307,1300000,54,54,1998
"ASPEN FOOD SERVICE, INC",MCDONALD'S,10683 I 25 ACCESS RD W,LONGMONT,CO,80504,3036519608,FAST-FOOD REST CHAIN,40.207032,-104.979472,722513,58120307,7139024,350,50,1996
BIGARI FOOD ENTERPRISES INC,MCDONALD'S,1575 SPACE CENTER DR,COLORADO SPRINGS,CO,809152441,7195971499,FAST-FOOD REST CHAIN,38.854973,-104.723282,722513,58120307,0,0,1,
BIGARI FOOD ENTERPRISES INC,MCDONALD'S,5825 MARK DABLING BLVD,COLORADO SPRINGS,CO,809192233,7196382071,EATING PLACE MISC PERSONAL SERVICES,38.917492,-104.821017,722513,58120307,1571398,73,3,1991
BIGARI FOOD ENTERPRISES INC,MCDONALD'S,1244 N ACADEMY BLVD,COLORADO SPRINGS,CO,809094422,7195961977,FAST-FOOD REST CHAIN,38.850131,-104.757493,722513,58120307,0,0,40,
BIGARI FOOD ENTERPRISES INC,MCDONALD'S,510 N MURRAY BLVD,COLORADO SPRINGS,CO,809153404,7195731711,FAST-FOOD REST CHAIN,38.84026,-104.748189,722513,58120307,0,0,28,
BIGARI FOOD ENTERPRISES INC,MCDONALD'S,5765 CONSTITUTION AVE,COLORADO SPRINGS,CO,809151220,7196370393,FAST-FOOD REST CHAIN,38.871914,-104.721375,722513,58120307,0,0,15,
BOSELI INVESTMENTS,MCDONALD'S,9499 SHERIDAN BLVD,WESTMINSTER,CO,800316532,3036508888,FAST-FOOD REST CHAIN,39.868345,-105.053345,722513,58120307,198666,12,12,2004
BOSELLI INVESTMENTS LLC,MCDONALD'S,200 16TH ST FL 1,DENVER,CO,802025101,,FAST-FOOD REST CHAIN,39.74191,-104.988019,722513,58120307,0,0,45,
BOSELLI INVESTMENTS LLC,MCDONALD'S,5085 FEDERAL BLVD,DENVER,CO,802211135,3034770655,FAST-FOOD REST CHAIN,39.789009,-105.025314,722513,58120307,0,0,40,
BOSELLI INVESTMENTS LLC,MCDONALD'S,9995 WADSWORTH PKWY,WESTMINSTER,CO,800214249,3034208484,FAST-FOOD REST CHAIN,39.877808,-105.095808,722513,58120307,0,0,50,
BOSELLI INVESTMENTS LLC,MCDONALD'S,9190 FEDERAL BLVD,DENVER,CO,802605835,3034261535,FAST-FOOD REST CHAIN,39.863233,-105.024978,722513,58120307,0,0,43,
BOSELLI INVESTMENTS LLC,MCDONALD'S,895 S KUNER RD,BRIGHTON,CO,806012857,3036596602,FAST-FOOD REST CHAIN,39.972585,-104.827735,722513,58120307,0,0,57,
BOSELLI INVESTMENTS LLC,MCDONALD'S,599 W 104TH AVE,NORTHGLENN,CO,802344002,7208892291,FAST-FOOD REST CHAIN,39.885317,-104.994856,722513,58120307,0,0,47,
BOSELLI INVESTMENTS LLC,MCDONALD'S,10195 WASHINGTON ST,THORNTON,CO,802292001,3034525119,FAST-FOOD REST CHAIN,39.881402,-104.977848,722513,58120307,0,0,35,
BOSELLI INVESTMENTS LLC,MCDONALD'S,3994 E 120TH AVE,THORNTON,CO,802331606,3034500428,FAST-FOOD REST CHAIN,39.913777,-104.939662,722513,58120307,0,0,60,
BOSELLI INVESTMENTS LLC,MCDONALD'S,8700 WASHINGTON ST,THORNTON,CO,802294712,3032894886,FAST-FOOD REST CHAIN,39.854348,-104.977855,722513,58120307,0,0,25,
BOSELLI INVESTMENTS LLC,MCDONALD'S,5570 W 88TH AVE,WESTMINSTER,CO,80031,3034285330,FAST-FOOD REST CHAIN,39.856307,-105.058007,722513,58120307,0,0,35,
BOSELLI INVESTMENTS LLC,MCDONALD'S,1130 W 124TH AVE STE 1100,DENVER,CO,802341730,3034270915,FAST-FOOD REST CHAIN,39.922005,-105.000735,722513,58120307,21653737,449,11,1976
BOSELLI OF COLORADO LLC,MCDONALD'S,3195 LAFAYETTE DR,BOULDER,CO,803057112,3034999861,FAST-FOOD REST CHAIN,39.969072,-105.254223,722513,58120307,1780521,70,70,1973
"BOSELLI & SONS, LLC",MCDONALD'S,4251 KIPLING ST UNIT 170,WHEAT RIDGE,CO,800332897,3035672338,FAST-FOOD REST CHAIN,39.775799,-105.109679,722513,58120307,7514035,200,32,1996
"BOSELLI & SONS, LLC",MCDONALD'S,450 W HIGHWAY 105,MONUMENT,CO,801326102,7194880044,FAST-FOOD REST CHAIN,39.092986,-104.833712,722513,58120307,0,0,84,
