LICENSEE,DBA,LICENSE,ADDRESS,CITY,ZIP ,AddLong,y,x,url
1-11 LLC,1:11,402R-00581,17034 Highway 17,Moffat,81143,17034 Highway 17 Moffat CO 81143,37.993108,-105.907844,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=17034%20Highway%2017%20Moffat%20CO%2081143
1617 WAZEE STREET LLC,LODO WELLNESS CENTER,402R-00081,"1617 Wazee Street, Unit B",Denver,80202,"1617 Wazee Street, Unit B Denver CO 80202",39.75153,-104.999638,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1617%20Wazee%20Street,%20Unit%20B%20Denver%20CO%2080202"
3B FEDERAL1 LLC,BUDDY BOY,402R-00664,155 North Federal Boulevard,Denver,80219,155 North Federal Boulevard Denver CO 80219,39.719304,-105.025214,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=155%20North%20Federal%20Boulevard%20Denver%20CO%2080219
3B-38 LLC,BUDDY BOY,402R-00386,4012 West 38th Avenue,Denver,80212,4012 West 38th Avenue Denver CO 80212,39.769453,-105.03969,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4012%20West%2038th%20Avenue%20Denver%20CO%2080212
3-D DENVERS DISCREET DISPENSARY LLC,3D CANNABIS CENTER,402R-00248,248 East US Highway 50,Salida,81201,248 East US Highway 50 Salida CO 81201,38.524166,-106.006293,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=248%20East%20US%20Highway%2050%20Salida%20CO%2081201
3LP LLC,MINDFUL,402R-00290,6403 North Jackson Gap Street,Aurora,80019,6403 North Jackson Gap Street Aurora CO 80019,39.812906,-104.689725,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=6403%20North%20Jackson%20Gap%20Street%20Aurora%20CO%2080019
3LP LLC,MINDFUL,402R-00333,1401 Peoria Street,Aurora,80011,1401 Peoria Street Aurora CO 80011,39.739114,-104.847134,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1401%20Peoria%20Street%20Aurora%20CO%2080011
4095 SHELTER LLC,,402R-00010,4095 Jackson Street,Denver,80216,4095 Jackson Street Denver CO 80216,39.773626,-104.942937,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4095%20Jackson%20Street%20Denver%20CO%2080216
420 GREEN GENIE INC,,402R-00471,106 East 4th Avenue,Antonito,81120,106 East 4th Avenue Antonito CO 81120,37.074914,-106.008729,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=106%20East%204th%20Avenue%20Antonito%20CO%2081120
4625 E COLFAX LLC,THE CLINIC ON COLFAX,402R-00047,4625 East Colfax Avenue,Denver,80220,4625 East Colfax Avenue Denver CO 80220,39.740176,-104.933175,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4625%20East%20Colfax%20Avenue%20Denver%20CO%2080220
505 CENTER LLC,PURE MEDICAL DISPENSARY,402R-00438,505 West 40th Avenue,Denver,80216,505 West 40th Avenue Denver CO 80216,39.771739,-104.993978,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=505%20West%2040th%20Avenue%20Denver%20CO%2080216
5110 SANCTUARY LLC,,402R-00003,5110 Race Street,Denver,80216,5110 Race Street Denver CO 80216,39.788089,-104.963559,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5110%20Race%20Street%20Denver%20CO%2080216
5B1S LLC,1859,402R-00374,231 Gregory Street,Black Hawk,80422,231 Gregory Street Black Hawk CO 80422,39.801312,-105.49538,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=231%20Gregory%20Street%20Black%20Hawk%20CO%2080422
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,402R-00055,2059 West 9th Avenue,Denver,80204,2059 West 9th Avenue Denver CO 80204,39.731052,-105.012454,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2059%20West%209th%20Avenue%20Denver%20CO%2080204
A&A INVESTMENTS LLC,ECLIPSE CANNABIS COMPANY,402R-00734,933 Alpine Avenue Suite 2,Boulder,80304,933 Alpine Avenue Suite 2 Boulder CO 80304,40.025515,-105.284895,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=933%20Alpine%20Avenue%20Suite%202%20Boulder%20CO%2080304
ABUNDANT HEALTH DENVER LLC,HERBAN UNDERGROUND,402R-00237,"70 Broadway, Suite 50",Denver,80203,"70 Broadway, Suite 50 Denver CO 80203",39.717865,-104.987505,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=70%20Broadway,%20Suite%2050%20Denver%20CO%2080203"
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY RETAIL CANNABIS,402R-00232,60250 County Road T,Moffat,81143,60250 County Road T Moffat CO 81143,37.992653,-105.897693,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=60250%20County%20Road%20T%20Moffat%20CO%2081143
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY ANTONITO RETAIL CANNABIS,402R-00482,315 Main Street,Antonito,81120,315 Main Street Antonito CO 81120,37.074505,-106.008789,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=315%20Main%20Street%20Antonito%20CO%2081120
ACES PLACE LLC,,402R-00502,"1101 Academy Court, Unit 4",Fort Collins,80524,"1101 Academy Court, Unit 4 Fort Collins CO 80524",40.572423,-105.044018,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1101%20Academy%20Court,%20Unit%204%20Fort%20Collins%20CO%2080524"
ACME DISPENSARY INC,,402R-00156,309 Belleview Avenue Unit 1A,Crested Butte,81224,309 Belleview Avenue Unit 1A Crested Butte CO 81224,38.86704,-106.985278,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=309%20Belleview%20Avenue%20Unit%201A%20Crested%20Butte%20CO%2081224
ACME HEALING CENTER OF RIDGWAY LLC,,402R-00155,157 Highway 550 Suite B,Ridgway,81432,157 Highway 550 Suite B Ridgway CO 81432,38.152773,-107.749707,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=157%20Highway%20550%20Suite%20B%20Ridgway%20CO%2081432
ACME HEALING CENTER OF SILVERTON LLC,,402R-00455,1330 Greene Street,Silverton,81433,1330 Greene Street Silverton CO 81433,37.81271,-107.663377,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1330%20Greene%20Street%20Silverton%20CO%2081433
AHAB LLC,STRAWBERRY FIELDS,402R-00606,116 Santa Fe Trail Drive,Trinidad,81082,116 Santa Fe Trail Drive Trinidad CO 81082,37.16854,-104.50544,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=116%20Santa%20Fe%20Trail%20Drive%20Trinidad%20CO%2081082
AJO HOLDINGS LLC,NATURAL SELECTIONS,402R-00417,920 West 104th Avenue,Northglenn,80234,920 West 104th Avenue Northglenn CO 80234,39.885105,-104.997735,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=920%20West%20104th%20Avenue%20Northglenn%20CO%2080234
AJS AURORA LLC,SWEET LEAF,402R-00311,"15200 East 6th Avenue, Unit 1",Aurora,80011,"15200 East 6th Avenue, Unit 1 Aurora CO 80011",39.725564,-104.812298,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=15200%20East%206th%20Avenue,%20Unit%201%20Aurora%20CO%2080011"
AJS FEDERAL LLC,SWEET LEAF,402R-00675,468 South Federal Boulevard,Denver,80219,468 South Federal Boulevard Denver CO 80219,39.708073,-105.025091,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=468%20South%20Federal%20Boulevard%20Denver%20CO%2080219
AJS THORNTON LLC,SWEET LEAF,402R-00628,2551 East 120th Avenue,Thornton,80233,2551 East 120th Avenue Thornton CO 80233,39.913958,-104.957785,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2551%20East%20120th%20Avenue%20Thornton%20CO%2080233
ALCC LLC,THE DAB BY NEXT HARVEST,402R-00137,2748 West Alameda Avenue,Denver,80219,2748 West Alameda Avenue Denver CO 80219,39.711152,-105.021903,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2748%20West%20Alameda%20Avenue%20Denver%20CO%2080219
ALPENGLOW BOTANICALS LLC,ALPENGLOW PREMIUM CANNABIS,402R-00074,"1805 Airport Road, Units B1B & B1C",Breckenridge,80424,"1805 Airport Road, Units B1B & B1C Breckenridge CO 80424",46.113193,-59.91599,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1805%20Airport%20Road,%20Units%20B1B%20&%20B1C%20Breckenridge%20CO%2080424"
ALPENGLOW BOTANICALS LLC,ALPENGLOW BOTANICALS LLC,402R-00365,765 W Anemone Trail Unit C,Dillon,80435,765 W Anemone Trail Unit C Dillon CO 80435,39.627938,-106.060887,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=765%20W%20Anemone%20Trail%20Unit%20C%20Dillon%20CO%2080435
ALPINE HERBAL WELLNESS LLC,FROSTED LEAF,402R-00187,445 Federal Boulevard,Denver,80204,445 Federal Boulevard Denver CO 80204,39.723668,-105.025185,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=445%20Federal%20Boulevard%20Denver%20CO%2080204
ALPINE WELLNESS LLC,ALPINE WELLNESS,402R-00091,"300 West Colorado Avenue, Unit 2C, Suites B-H",Telluride,81435,"300 West Colorado Avenue, Unit 2C, Suites B-H Telluride CO 81435",37.937762,-107.813097,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=300%20West%20Colorado%20Avenue,%20Unit%202C,%20Suites%20B-H%20Telluride%20CO%2081435"
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MOUNTAIN ORGANICS,402R-00151,"5312 Highway 119, Unit B",Black Hawk,80422,"5312 Highway 119, Unit B Black Hawk CO 80422",39.786467,-105.465813,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5312%20Highway%20119,%20Unit%20B%20Black%20Hawk%20CO%2080422"
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MOUNTAIN ORGANICS,402R-00450,161 Gregory Street,Central City,80427,161 Gregory Street Central City CO 80427,39.801336,-105.495291,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=161%20Gregory%20Street%20Central%20City%20CO%2080427
ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,,402R-00013,1301 Marion Street,Denver,80218,1301 Marion Street Denver CO 80218,39.736893,-104.971842,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1301%20Marion%20Street%20Denver%20CO%2080218
ALTERNATIVE MEDICINE ON THE MALL LLC,NATIVE ROOTS APOTHECARY,402R-00027,"910 16th Street, Suite 805",Denver,80202,"910 16th Street, Suite 805 Denver CO 80202",39.746732,-104.994356,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=910%2016th%20Street,%20Suite%20805%20Denver%20CO%2080202"
ALTITUDE WELLNESS CENTER LLC,NATURE'S HERBS AND WELLNESS DTC,402R-00130,"3435 South Yosemite Street, Suite 200",Denver,80231,"3435 South Yosemite Street, Suite 200 Denver CO 80231",39.654925,-104.88485,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3435%20South%20Yosemite%20Street,%20Suite%20200%20Denver%20CO%2080231"
AMERICAN INDUSTRY LLC,DENVER CLONE STORE,402R-00344,"755 South Federal Boulevard, Unit 5",Denver,80219,"755 South Federal Boulevard, Unit 5 Denver CO 80219",39.702906,-105.025083,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=755%20South%20Federal%20Boulevard,%20Unit%205%20Denver%20CO%2080219"
AMERICAN INDUSTRY LLC,DENVER CLONE STORE,402R-00465,4571 Ivy Street,Denver,80216,4571 Ivy Street Denver CO 80216,39.779534,-104.920028,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4571%20Ivy%20Street%20Denver%20CO%2080216
AMERICAN PRIDE GROWERS LLC,LEAF ON THE MESA,402R-00382,1917 Santa Fe Drive,Pueblo,81006,1917 Santa Fe Drive Pueblo CO 81006,38.245608,-104.575634,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1917%20Santa%20Fe%20Drive%20Pueblo%20CO%2081006
AMERICAN PRIDE GROWERS LLC,THE LEAF,402R-00669,875 Crane Ridge Drive,Pueblo,81008,875 Crane Ridge Drive Pueblo CO 81008,38.367097,-104.617325,http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=875%20Crane%20Ridge%20Drive%20Pueblo%20CO%2081008
