NCES_ID,State_ID,NCES_DisID,StatDis_ID,Low_Grade,High_Grade,Sch_Name,District,County,Street_Add,City,State,ZIP,ZIP_4digit,Phone,LocCode,Locale,Charter,Magnet,Titl1_Sch,Titl1_Wide,Students,Teachers,St_Tea_Rat,Free_Lunch,Red_Lunch,addLong,Latitude,Longitude,url
80336000305,CO-0880-0010,803360,CO-0880,9,12,ABRAHAM LINCOLN HIGH SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,2285 SOUTH FEDERAL BOULEVARD,DENVER,CO,80219,5400,(720)423-5000,11,City: Large,No,No,Yes,Yes,1393,88.02,15.8,1157,121,"2285 SOUTH FEDERAL BOULEVARD DENVER,CO,80219",39.676968,-105.025057,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2285+SOUTH+FEDERAL+BOULEVARD+DENVER,CO,80219"
80336001750,CO-0880-6397,803360,CO-0880,PK,6,ACADEMIA ANA MARIE SANDOVAL,School District No. 1 in the county of Denver and State of C,Denver County,3655 WYANDOT STREET,DENVER,CO,80211,2950,(720)424-4370,11,City: Large,No,No,No,?,427,23.25,18.4,106,29,"3655 WYANDOT STREET DENVER,CO,80211",39.76751,-105.014348,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3655+WYANDOT+STREET+DENVER,CO,80211"
80336006592,CO-0880-0099,803360,CO-0880,PK,5,ACADEMY 360,School District No. 1 in the county of Denver and State of C,Denver County,12000 E. 47TH AVE,DENVER,CO,80239,,(303)574-1360,11,City: Large,Yes,No,Yes,Yes,164,10.87,15.1,106,24,"12000 E. 47TH AVE DENVER,CO,80239",39.782382,-104.850357,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=12000+E.+47TH+AVE+DENVER,CO,80239"
80336001894,CO-0880-0067,803360,CO-0880,9,12,ACADEMY OF URBAN LEARNING,School District No. 1 in the county of Denver and State of C,Denver County,2417 W. 29th Ave,DENVER,CO,80211,,(303)282-0900,11,City: Large,Yes,No,Yes,Yes,126,6.38,19.7,101,6,"2417 W. 29th Ave DENVER,CO,80211",39.758424,-105.017429,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2417+W.+29th+Ave+DENVER,CO,80211"
80336001764,CO-0880-1866,803360,CO-0880,8,10,ACE COMMUNITY CHALLENGE SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,948 SANTA FE DRIVE,DENVER,CO,80204,3937,(303)436-9588,11,City: Large,Yes,No,Yes,Yes,133,4.65,28.6,119,5,"948 SANTA FE DRIVE DENVER,CO,80204",39.731301,-104.998641,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=948+SANTA+FE+DRIVE+DENVER,CO,80204"
80336000306,CO-0880-0220,803360,CO-0880,PK,5,AMESSE ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,5440 SCRANTON STREET,DENVER,CO,80239,3668,(720)424-9988,11,City: Large,No,No,Yes,Yes,558,33,16.9,479,50,"5440 SCRANTON STREET DENVER,CO,80239",39.794177,-104.84226,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5440+SCRANTON+STREET+DENVER,CO,80239"
80336000307,CO-0880-0388,803360,CO-0880,KG,5,ASBURY ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1320 EAST ASBURY AVENUE,DENVER,CO,80210,4119,(720)424-9750,11,City: Large,No,No,No,?,347,23,15.1,108,23,"1320 EAST ASBURY AVENUE DENVER,CO,80210",39.680325,-104.971659,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1320+EAST+ASBURY+AVENUE+DENVER,CO,80210"
80336000309,CO-0880-0418,803360,CO-0880,PK,5,ASHLEY ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1914 SYRACUSE STREET,DENVER,CO,80220,2018,(720)424-9748,11,City: Large,No,No,Yes,Yes,406,26.5,15.3,331,25,"1914 SYRACUSE STREET DENVER,CO,80220",39.746493,-104.898771,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1914+SYRACUSE+STREET+DENVER,CO,80220"
80336000311,CO-0880-0520,803360,CO-0880,PK,5,BARNUM ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,85 HOOKER STREET,DENVER,CO,80219,1444,(720)424-9590,11,City: Large,No,No,Yes,Yes,489,29.75,16.4,447,30,"85 HOOKER STREET DENVER,CO,80219",39.717355,-105.028797,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=85+HOOKER+STREET+DENVER,CO,80219"
80336000313,CO-0880-0650,803360,CO-0880,PK,5,BEACH COURT ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,4950 BEACH COURT,DENVER,CO,80221,1208,(720)424-9470,11,City: Large,No,No,Yes,Yes,278,20.97,13.3,200,46,"4950 BEACH COURT DENVER,CO,80221",39.786526,-105.018161,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4950+BEACH+COURT+DENVER,CO,80221"
80336000317,CO-0880-0964,803360,CO-0880,PK,5,BRADLEY INTERNATIONAL SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,3051 SOUTH ELM STREET,DENVER,CO,80222,7339,(720)424-9468,11,City: Large,No,No,No,?,520,30.5,17,179,41,"3051 SOUTH ELM STREET DENVER,CO,80222",39.662525,-104.929466,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3051+SOUTH+ELM+STREET+DENVER,CO,80222"
80336000318,CO-0880-1056,803360,CO-0880,PK,5,BROMWELL ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,2500 EAST 4TH AVENUE,DENVER,CO,80206,4214,(720)424-9330,11,City: Large,No,No,No,?,320,19,16.8,16,4,"2500 EAST 4TH AVENUE DENVER,CO,80206",39.722554,-104.957316,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2500+EAST+4TH+AVENUE+DENVER,CO,80206"
80336000319,CO-0880-1076,803360,CO-0880,PK,5,BROWN INTERNATIONAL ACADEMY,School District No. 1 in the county of Denver and State of C,Denver County,2550 LOWELL BLVD,DENVER,CO,80211,4429,(720)424-9250,11,City: Large,No,No,No,?,605,35.34,17.1,205,39,"2550 LOWELL BLVD DENVER,CO,80211",39.75422,-105.034631,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2550+LOWELL+BLVD+DENVER,CO,80211"
80336001869,CO-0880-6350,803360,CO-0880,6,12,BRUCE RANDOLPH SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,3955 STEELE STREET,DENVER,CO,80205,3616,(720)424-1080,11,City: Large,No,No,Yes,Yes,824,62,13.3,725,63,"3955 STEELE STREET DENVER,CO,80205",39.771955,-104.949908,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3955+STEELE+STREET+DENVER,CO,80205"
80336000320,CO-0880-1106,803360,CO-0880,PK,8,BRYANT WEBSTER DUAL LANGUAGE ECE-8 SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,3635 QUIVAS ST,DENVER,CO,80211,3051,(720)424-9170,11,City: Large,No,No,Yes,Yes,413,29.98,13.8,311,43,"3635 QUIVAS ST DENVER,CO,80211",39.767427,-105.008015,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3635+QUIVAS+ST+DENVER,CO,80211"
80336000322,CO-0880-1319,803360,CO-0880,9,12,CAREER EDUCATION CENTER EARLY COLLEGE,School District No. 1 in the county of Denver and State of C,Denver County,2650 ELIOT STREET,DENVER,CO,80211,4711,(720)423-6600,11,City: Large,No,No,Yes,Yes,433,39.25,11,296,54,"2650 ELIOT STREET DENVER,CO,80211",39.755432,-105.023629,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2650+ELIOT+STREET+DENVER,CO,80211"
80336000323,CO-0880-1324,803360,CO-0880,PK,5,CARSON ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,5420 EAST 1ST AVENUE,DENVER,CO,80220,5801,(720)424-9090,11,City: Large,No,No,No,?,426,28.33,15,53,11,"5420 EAST 1ST AVENUE DENVER,CO,80220",39.71784,-104.92428,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5420+EAST+1ST+AVENUE+DENVER,CO,80220"
80336000424,CO-0880-9496,803360,CO-0880,KG,5,CASTRO ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,845 SOUTH LOWELL BOULEVARD,DENVER,CO,80219,3369,(720)424-8990,11,City: Large,No,No,Yes,Yes,528,37.5,14.1,480,35,"845 SOUTH LOWELL BOULEVARD DENVER,CO,80219",39.701236,-105.034466,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=845+SOUTH+LOWELL+BOULEVARD+DENVER,CO,80219"
80336000324,CO-0880-1400,803360,CO-0880,PK,5,CENTENNIAL A SCHOOL FOR EXPEDITIONARY LEARNING,School District No. 1 in the county of Denver and State of C,Denver County,4665 RALEIGH STREET,DENVER,CO,80212,2560,(720)424-8900,11,City: Large,No,No,Yes,Yes,405,29.38,13.8,200,43,"4665 RALEIGH STREET DENVER,CO,80212",39.781168,-105.041605,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4665+RALEIGH+STREET+DENVER,CO,80212"
80336006449,CO-0880-1345,803360,CO-0880,KG,8,CESAR CHAVEZ ACADEMY DENVER,School District No. 1 in the county of Denver and State of C,Denver County,3752 TENNYSON STREET,DENVER,CO,80212,,(303)455-0848,11,City: Large,Yes,No,Yes,Yes,381,26.88,14.2,266,48,"3752 TENNYSON STREET DENVER,CO,80212",39.768502,-105.04405,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3752+TENNYSON+STREET+DENVER,CO,80212"
80336000400,CO-0880-7694,803360,CO-0880,KG,5,CHARLES M. SCHENCK (CMS) COMMUNITY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1300 SOUTH LOWELL BOULEVARD,DENVER,CO,80219,3844,(720)424-4300,11,City: Large,No,No,Yes,Yes,366,26.25,13.9,332,22,"1300 SOUTH LOWELL BOULEVARD DENVER,CO,80219",39.692185,-105.034392,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1300+SOUTH+LOWELL+BOULEVARD+DENVER,CO,80219"
80336000325,CO-0880-1528,803360,CO-0880,PK,5,CHELTENHAM ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1580 JULIAN STREET,DENVER,CO,80204,1617,(720)424-8810,11,City: Large,No,No,Yes,Yes,439,33.48,13.1,418,14,"1580 JULIAN STREET DENVER,CO,80204",39.741562,-105.031515,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1580+JULIAN+STREET+DENVER,CO,80204"
80336006364,CO-0880-1785,803360,CO-0880,PK,5,COLE ARTS AND SCIENCE ACADEMY,School District No. 1 in the county of Denver and State of C,Denver County,3240 HUMBOLDT STREET,DENVER,CO,80205,3934,(720)423-9120,11,City: Large,No,No,Yes,Yes,535,38.9,13.8,460,32,"3240 HUMBOLDT STREET DENVER,CO,80205",39.76334,-104.969644,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3240+HUMBOLDT+STREET+DENVER,CO,80205"
80336000327,CO-0880-1774,803360,CO-0880,PK,5,COLFAX ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1526 TENNYSON STREET,DENVER,CO,80204,1230,(720)424-8740,11,City: Large,No,No,Yes,Yes,344,20.5,16.8,298,22,"1526 TENNYSON STREET DENVER,CO,80204",39.740947,-105.04404,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1526+TENNYSON+STREET+DENVER,CO,80204"
80336000328,CO-0880-1788,803360,CO-0880,PK,5,COLLEGE VIEW ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,2675 SOUTH DECATUR STREET,DENVER,CO,80219,6036,(720)424-8660,11,City: Large,No,No,Yes,Yes,474,31.25,15.2,406,34,"2675 SOUTH DECATUR STREET DENVER,CO,80219",39.66827,-105.022732,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2675+SOUTH+DECATUR+STREET+DENVER,CO,80219"
80336006515,CO-0880-1295,803360,CO-0880,9,12,COLLEGIATE PREPARATORY ACADEMY,School District No. 1 in the county of Denver and State of C,Denver County,5290 KITTREDGE STREET,DENVER,CO,80239,,(720)423-0850,11,City: Large,No,No,Yes,Yes,413,24.17,17.1,262,35,"5290 KITTREDGE STREET DENVER,CO,80239",39.788336,-104.801989,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5290+KITTREDGE+STREET+DENVER,CO,80239"
80336001862,CO-0880-1748,803360,CO-0880,9,12,COLORADO HIGH SCHOOL CHARTER,School District No. 1 in the county of Denver and State of C,Denver County,1175 OSAGE STREET #100,DENVER,CO,80204,3443,(303)892-8475,11,City: Large,Yes,No,Yes,Yes,254,9.3,27.3,192,12,"1175 OSAGE STREET #100 DENVER,CO,80204",39.734649,-105.005263,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1175+OSAGE+STREET+#100+DENVER,CO,80204"
80336000329,CO-0880-1816,803360,CO-0880,PK,5,COLUMBIAN ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,2925 WEST 40TH AVENUE,DENVER,CO,80211,2076,(720)424-8580,11,City: Large,No,No,Yes,Yes,292,21,13.9,224,29,"2925 WEST 40TH AVENUE DENVER,CO,80211",39.772062,-105.024208,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2925+WEST+40TH+AVENUE+DENVER,CO,80211"
80336000330,CO-0880-1846,803360,CO-0880,PK,5,COLUMBINE ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,2540 EAST 29TH AVE,DENVER,CO,80205,4730,(720)424-8510,11,City: Large,No,No,Yes,Yes,240,20.73,11.6,199,13,"2540 EAST 29TH AVE DENVER,CO,80205",39.758228,-104.955862,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2540+EAST+29TH+AVE+DENVER,CO,80205"
80336006645,CO-0880-1939,803360,CO-0880,6,7,COMPASS ACADEMY,School District No. 1 in the county of Denver and State of C,Denver County,911 SOUTH HAZEL COURT,DENVER,CO,80219,,(303)226-4880,11,City: Large,Yes,No,Yes,Yes,122,7.47,16.3,113,6,"911 SOUTH HAZEL COURT DENVER,CO,80219",39.70018,-105.027423,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=911+SOUTH+HAZEL+COURT+DENVER,CO,80219"
80336006583,CO-0880-1489,803360,CO-0880,9,12,COMPASSION ROAD ACADEMY,School District No. 1 in the county of Denver and State of C,Denver County,1000 CHEROKEE STREET,DENVER,CO,80204,,(720)424-2200,11,City: Large,No,No,Yes,Yes,157,11.63,13.5,100,12,"1000 CHEROKEE STREET DENVER,CO,80204",39.732077,-104.991643,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1000+CHEROKEE+STREET+DENVER,CO,80204"
80336000380,CO-0880-5844,803360,CO-0880,9,12,CONTEMPORARY LEARNING ACADEMY,School District No. 1 in the county of Denver and State of C,Denver County,200 E. 9TH AVE.,DENVER,CO,80203,3709,(720)423-6900,11,City: Large,No,No,Yes,Yes,167,19,8.8,119,8,"200 E. 9TH AVE. DENVER,CO,80203",39.730436,-104.984491,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=200+E.+9TH+AVE.+DENVER,CO,80203"
80336000331,CO-0880-1908,803360,CO-0880,1,5,CORY ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1550 SOUTH STEELE STREET,DENVER,CO,80210,2938,(720)424-8380,11,City: Large,No,No,No,?,382,21.5,17.8,38,13,"1550 SOUTH STEELE STREET DENVER,CO,80210",39.688428,-104.95003,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1550+SOUTH+STEELE+STREET+DENVER,CO,80210"
80336000332,CO-0880-1928,803360,CO-0880,PK,5,COWELL ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,4540 WEST 10TH AVENUE,DENVER,CO,80204,2913,(720)424-8300,11,City: Large,No,No,Yes,Yes,451,29.99,15,395,28,"4540 WEST 10TH AVENUE DENVER,CO,80204",39.733059,-105.045743,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4540+WEST+10TH+AVENUE+DENVER,CO,80204"
80336006559,CO-0880-3698,803360,CO-0880,KG,5,CREATIVITY CHALLENGE COMMUNITY,School District No. 1 in the county of Denver and State of C,Denver County,1551 S. MONROE ST,DENVER,CO,80210,,(720)424-0630,11,City: Large,No,No,No,?,279,16.1,17.3,30,7,"1551 S. MONROE ST DENVER,CO,80210",39.688391,-104.94537,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1551+S.+MONROE+ST+DENVER,CO,80210"
80336006521,CO-0880-2205,803360,CO-0880,PK,5,DCIS AT FORD,School District No. 1 in the county of Denver and State of C,Denver County,14500 MAXWELL PLACE,DENVER,CO,80239,,(720)424-7300,11,City: Large,No,No,Yes,Yes,500,31.5,15.9,418,45,"14500 MAXWELL PLACE DENVER,CO,80239",39.793019,-104.816684,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=14500+MAXWELL+PLACE+DENVER,CO,80239"
80336006528,CO-0880-2209,803360,CO-0880,6,12,DCIS AT MONTBELLO,School District No. 1 in the county of Denver and State of C,Denver County,5000 CROWN BLVD,DENVER,CO,80239,,(720)423-5900,11,City: Large,No,No,Yes,Yes,864,60.46,14.3,714,58,"5000 CROWN BLVD DENVER,CO,80239",39.786827,-104.829472,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=5000+CROWN+BLVD+DENVER,CO,80239"
